Timestamp,Current (A)
15:21:59,0.0
15:21:59,0.0
15:22:00,0.098
15:22:00,0.146
15:22:00,0.098
15:22:00,0.146
15:22:01,0.0
15:22:01,0.0
15:22:01,0.098
15:22:02,0.0
15:22:02,0.098
15:22:02,0.0
15:22:03,0.098
15:22:03,0.0
15:22:03,0.098
15:22:04,0.0
15:22:04,0.098
15:22:04,0.098
15:22:04,0.0
15:22:05,0.098
15:22:05,0.0
15:22:05,0.0
15:22:06,0.146
15:22:06,0.195
15:22:06,0.098
15:22:07,0.0
15:22:07,0.098
15:22:07,0.098
15:22:07,0.098
15:22:08,0.0
15:22:08,0.098
15:22:08,0.0
15:22:09,0.0
15:22:09,0.098
15:22:09,0.098
15:22:10,0.098
15:22:10,0.146
15:22:10,0.0
15:22:10,0.0
15:22:11,0.146
15:22:11,0.098
15:22:11,0.146
15:22:12,0.0
15:22:12,0.146
15:22:12,0.0
15:22:13,0.0
15:22:13,0.098
15:22:13,0.0
15:22:13,0.0
15:22:14,0.0
15:22:14,0.146
15:22:14,0.0
15:22:15,0.0
15:22:15,0.098
15:22:15,0.146
15:22:16,0.0
15:22:16,0.0
15:22:16,0.146
15:22:16,0.098
15:22:17,0.0
15:22:17,0.0
15:22:17,0.098
15:22:18,0.0
15:22:18,0.0
15:22:18,0.0
15:22:19,0.146
15:22:19,0.0
15:22:19,0.0
15:22:19,0.0
15:22:20,0.0
15:22:20,0.0
15:22:20,0.098
15:22:21,0.098
15:22:21,0.098
15:22:21,0.0
15:22:22,0.244
15:22:22,0.0
15:22:22,0.0
15:22:22,0.146
15:22:23,0.098
15:22:23,0.098
15:22:23,0.0
15:22:24,0.146
15:22:24,0.0
15:22:24,0.098
15:22:25,0.098
15:22:25,0.0
15:22:25,0.0
15:22:25,0.098
15:22:26,0.146
15:22:26,0.098
15:22:26,0.146
15:22:27,0.0
15:22:27,0.098
15:22:27,0.098
15:22:28,0.098
15:22:28,0.146
15:22:28,0.0
15:22:28,0.0
15:22:29,0.0
15:22:29,0.0
15:22:29,0.0
15:22:30,0.0
15:22:30,0.0
15:22:30,0.0
15:22:31,0.098
15:22:31,0.098
15:22:31,0.0
15:22:31,0.098
15:22:32,0.0
15:22:32,0.146
15:22:32,0.098
15:22:33,0.0
15:22:33,0.098
15:22:33,0.146
15:22:34,0.098
15:22:34,0.0
15:22:34,0.195
15:22:34,0.0
15:22:35,0.098
15:22:35,0.0
15:22:35,0.0
15:22:36,0.0
15:22:36,0.098
15:22:36,0.098
15:22:37,0.098
15:22:37,0.098
15:22:37,-0.098
15:22:37,0.146
15:22:38,0.0
15:22:38,0.0
15:22:38,0.098
15:22:39,0.098
15:22:39,0.0
15:22:39,0.146
15:22:40,0.0
15:22:40,-0.098
15:22:40,-0.098
15:22:40,0.0
15:22:41,0.0
15:22:41,0.195
15:22:41,0.195
15:22:42,0.098
15:22:42,0.0
15:22:42,0.0
15:22:43,0.146
15:22:43,0.098
15:22:43,0.0
15:22:43,0.146
15:22:44,0.0
15:22:44,0.098
15:22:44,0.0
15:22:45,0.0
15:22:45,0.0
15:22:45,0.146
15:22:46,0.098
15:22:46,0.098
15:22:46,0.0
15:22:46,0.0
15:22:47,0.098
15:22:47,0.0
15:22:47,0.0
15:22:48,0.0
15:22:48,0.0
15:22:48,0.098
15:22:49,0.146
15:22:49,0.098
15:22:49,0.146
15:22:49,0.0
15:22:50,0.098
15:22:50,0.0
15:22:50,0.0
15:22:51,0.098
15:22:51,0.0
15:22:51,0.0
15:22:52,0.098
15:22:52,0.146
15:22:52,0.0
15:22:52,0.0
15:22:53,0.0
15:22:53,0.0
15:22:53,0.098
15:22:54,0.146
15:22:54,0.0
15:22:54,0.098
15:22:55,0.0
15:22:55,0.098
15:22:55,0.098
15:22:55,0.195
15:22:56,0.0
15:22:56,0.0
15:22:56,0.146
15:22:57,0.0
15:22:57,0.098
15:22:57,0.0
15:22:58,0.0
15:22:58,0.0
15:22:58,0.146
15:22:58,0.098
15:22:59,0.0
15:22:59,0.0
15:22:59,0.098
15:23:00,0.146
15:23:00,0.0
15:23:00,0.195
15:23:01,0.098
15:23:01,0.0
15:23:01,0.0
15:23:01,0.098
15:23:02,0.098
15:23:02,0.098
15:23:02,0.0
15:23:03,0.244
15:23:03,0.0
15:23:03,0.0
15:23:04,0.098
15:23:04,0.098
15:23:04,0.195
15:23:04,0.0
15:23:05,0.195
15:23:05,0.098
15:23:05,0.0
15:23:06,0.146
15:23:06,0.146
15:23:06,0.146
15:23:07,0.098
15:23:07,0.0
15:23:07,0.098
15:23:07,0.0
15:23:08,0.0
15:23:08,0.146
15:23:08,0.0
15:23:09,0.0
15:23:09,0.0
15:23:09,0.146
15:23:10,0.195
15:23:10,0.0
15:23:10,0.146
15:23:10,0.098
15:23:11,0.0
15:23:11,0.146
15:23:11,0.098
15:23:12,0.0
15:23:12,0.0
15:23:12,0.0
15:23:13,0.0
15:23:13,0.0
15:23:13,0.0
15:23:14,0.098
15:23:14,0.098
15:23:14,0.0
15:23:14,0.195
15:23:15,0.146
15:23:15,0.146
15:23:15,0.146
15:23:16,0.0
15:23:16,0.0
15:23:16,0.0
15:23:17,0.0
15:23:17,0.146
15:23:17,0.0
15:23:17,0.098
15:23:18,0.0
15:23:18,0.098
15:23:18,0.098
15:23:19,0.0
15:23:19,0.098
15:23:19,0.098
15:23:20,0.098
15:23:20,0.0
15:23:20,0.098
15:23:20,0.146
15:23:21,0.098
15:23:21,0.0
15:23:21,0.0
15:23:22,0.0
15:23:22,0.0
15:23:22,0.0
15:23:23,0.0
15:23:23,0.098
15:23:23,0.146
15:23:23,0.195
15:23:24,0.098
15:23:24,0.0
15:23:24,0.0
15:23:25,0.0
15:23:25,0.0
15:23:25,0.098
15:23:26,0.0
15:23:26,0.098
15:23:26,0.098
15:23:26,0.0
15:23:27,0.0
15:23:27,0.146
15:23:27,0.098
15:23:28,0.146
15:23:28,0.0
15:23:28,0.0
15:23:29,0.0
15:23:29,0.0
15:23:29,0.098
15:23:29,0.0
15:23:30,0.0
15:23:30,0.146
15:23:30,0.098
15:23:31,0.0
15:23:31,0.0
15:23:31,0.0
15:23:32,0.195
15:23:32,0.0
15:23:32,0.146
15:23:32,0.0
15:23:33,0.0
15:23:33,0.0
15:23:33,0.098
15:23:34,0.0
15:23:34,0.0
15:23:34,0.098
15:23:35,-0.098
15:23:35,0.146
15:23:35,0.0
15:23:35,0.0
15:23:36,0.098
15:23:36,0.0
15:23:36,0.098
15:23:37,0.146
15:23:37,0.098
15:23:37,0.0
15:23:38,0.0
15:23:38,0.0
15:23:38,0.098
15:23:38,0.0
15:23:39,0.098
15:23:39,0.0
15:23:39,0.098
15:23:40,0.098
15:23:40,0.0
15:23:40,0.0
15:23:41,0.0
15:23:41,0.098
15:23:41,0.098
15:23:41,0.0
15:23:42,0.0
15:23:42,0.0
15:23:42,0.0
15:23:43,0.098
15:23:43,0.0
15:23:43,0.146
15:23:44,0.0
15:23:44,0.195
15:23:44,0.0
15:23:44,0.195
15:23:45,0.098
15:23:45,0.0
15:23:45,0.098
15:23:46,0.0
15:23:46,0.098
15:23:46,0.098
15:23:47,0.146
15:23:47,0.0
15:23:47,0.0
15:23:47,0.098
15:23:48,0.0
15:23:48,0.098
15:23:48,0.0
15:23:49,0.0
15:23:49,0.0
15:23:49,0.0
15:23:50,0.146
15:23:50,0.098
15:23:50,0.098
15:23:50,0.0
15:23:51,0.098
15:23:51,0.098
15:23:51,0.098
15:23:52,0.098
15:23:52,0.0
15:23:52,0.0
15:23:53,0.0
15:23:53,0.146
15:23:53,0.0
15:23:53,0.0
15:23:54,0.0
15:23:54,0.0
15:23:54,0.0
15:23:55,0.098
15:23:55,0.0
15:23:55,0.0
15:23:56,0.0
15:23:56,0.0
15:23:56,0.0
15:23:56,0.0
15:23:57,0.098
15:23:57,0.0
15:23:57,0.146
15:23:58,0.0
15:23:58,0.146
15:23:58,0.0
15:23:59,0.0
15:23:59,0.0
15:23:59,0.0
